id,searched_keywords,searched_location,profile_crawled,title,currated_title,company,location,description,seniority,employent_type,job_function,industry
apprentice technician at aston university 2601710344,Apprentice,,TRUE,Apprentice Technician,apprentice,Aston University,"Birmingham, England, United Kingdom",,,,,
apprentice technician at aston university 2599636590,Apprentice,,TRUE,Apprentice Technician,apprentice,Aston University,"England, United Kingdom",,,,,
apprentice training administrator  E2 80 93 wembley at flannery plant hire 2593917970,Apprentice,"London, England, United Kingdom",TRUE,Apprentice Training Administrator – Wembley,apprentice,Flannery Plant Hire,"Wembley, England, United Kingdom","Undertake duties in full accordance with the company’s policies and procedures  Gain product knowledge on an ongoing basis to enable yourself to advise and assist customers in their requirements  Manage training records (in-house and external training)  Update information on the Company’s system  Book medicals, review and authenticate operators’ medical certificates  Send New Starter forms via text and follow up with operators. Ensure all forms are completed and recorded on the systemLiaise with PPE suppliers and order PPE. Update records on Company’s system and on Excel spreadsheets  Answer telephone queries  Ad hoc duties where necessary  Ensure all personal data is collected, stored, and processed in line with Data Protection Act (DPA), General Data Protection Regulation (GDPR) and Company policiesGCSE A-C / 4-9 English  Previous administration experience  Proficient in Microsoft Word and Excel  Ability to use own initiative in managing workload without direct supervision  Ability to work under pressure  Excellent written and verbal communication skills  Good time management personal qualities  Strong attention to detail",,,,
apprentice underwriter at axa uk 2582563743,Alternative Practitioner,,TRUE,Apprentice Underwriter,apprentice,AXA UK,"Bolton, England, United Kingdom","Passionate about people and committed to growing a career at AXA, looking for opportunities to always learn and be part in shaping the future of our business.Active listeners who can demonstrate empathy - put yourself in customers shoes to build key relationships.Detail oriented and able to pick up mistakes easilyAble to absorb and apply technical product knowledge.Professional, confident and able to adapt quickly, as you’ll be dealing with different people, including customers and other insurance professionals. Entry Requirements: This might be the right opportunity if you’re looking to make a career change, OR you might have started college but decided you want to be paid whilst you learn. Whatever your circumstances, we want to hear from you. However, we ask for a minimum entry requirement of 3 C’s at A level or equivalent in numerical subjects (Maths, Science, Economics, Business, Accounting etc).Level 3 AND Level 4 apprenticeship qualificationBoth the Certificate and Diploma in Insurance accredited by the Chartered Insurance InstituteAn extremely competitive salary, which increases as you progress through your apprenticeshipA comprehensive benefits package The detail:23 days plus 8 bank holiday days annual leave3 voluntary/charity days each yearLinkedIn LearningAn annual bonus which is based on your performance and the performance of the businessA pension scheme and life insurance, which makes the benefits package worth approximately £2,000 per year.A wide range of flexible benefit options including private medical insurance, Bikes4Work, holiday trading and Give As You EarnUp to 35% discount on AXA productsAccess to a wide range of retail discounts and cash back.The employee assistance programme; a confidential advice service you can access to talk about anything that's troubling you. For example, your mental health, finances, family or work relationshipsComprehensive training with on-going support and a clear career progression programme.Following successful completion of your apprenticeship, you could have the opportunity to continue with your studies progress your career even further. We’re proud to say all our people who’ve successfully completed their Level 3 and Level 4 apprenticeship have continued to grow their careers here with us at AXA. Additional Information More information about our apprenticeships is available at; https://jobs.axa.co.uk/early-careers/apprenticeships",Internship,Full-time,Finance and Sales,Financial Services
apprentice vehicle workshop technician  E2 80 93 magna park at john lewis partners 2595410521,Apprentice,,TRUE,Apprentice Vehicle Workshop Technician – Magna Park,apprentice,John Lewis & Partners,"Milton Keynes, England, United Kingdom","John Lewis Partnership Heavy Commercial Vehicle Technicians are the lifeblood of our logistics network. Without them, our shelves would be empty and our customers disappointed. Our Vehicle Technicians are encouraged to manage their own time, while being proactive to ensure our Commercial Fleet is maintained. You’ll gain the qualifications you need to do the job and the opportunity of securing a permanent LCV Technician role with us at the end of your apprenticeship.Servicing and repairing any of our Commercial Vehicles.Maintaining a compliant and safe working environment.Learning Heavy Commercial Vehicle (HCV) engineering principles – including vehicle applications, configurations, designs, diagnostics, technologies and vehicle testing standards and maintenance schedules Learning HCV engineering practices – including inspecting, servicing, maintaining vehicles and trailers, quality checks and roadside assistance Using engineering tools and equipment – including hand and power tools, engineering and technical manuals and diagnostic and electrical measuring equipment Teamwork– including effective written and verbal communication skills, working as part of a team and taking ownership and responsibility when requiredEnglish and Maths GCSE Grade C or Level 4A full UK clean driving licence, to eventually obtain a full B class driving licencea proven interest in the commercial vehicle/vehicle industryGood interpersonal and IT skills",,,,
apprentices aviation engineering at draken europe 2587407654,Aircraft Technician,,TRUE,Apprentices   Aviation Engineering,apprentice,Draken Europe,"Bournemouth, England, United Kingdom","Work with our engineering teams and develop your skills helping with the maintenance of our full fleet of aircraftBe involved in routine aircraft servicing and help with any minor repairs or modificationsLearn about the importance of health, safety and security in everything our engineering teams doDevelop your engineering skills and knowledge through a combination of on - the - job learning and courseworkGain formal qualifications that will set you up for a successful career as an aircraft mechanic or engineerMust hold or be predicted to obtain required grades before the apprenticeship start date in physics, math and English language GCSE grades 9-4 (A*-C) or EquivalentGenuine interest in, and passion for engineeringStrong communication skillsAwareness of safety issuesSelf-motivation to learn and developAbility to act on own initiativeAdaptability to changeIf you hold an EASA or CAA Part 66 A licence or higher unfortunately you will be deemed as overqualified for this position and therefore cannot be considered for this role.Some travel to other Draken Europe locations could be expected.",,,,
apprenticeship data scientist at covance 2571861850,Data Mining Specialist,"Farnborough, England, United Kingdom",TRUE,Apprenticeship   Data Scientist,apprentice,Covance,"Maidenhead, England, United Kingdom","Responsible for the production of data tables, figures and listings (TFLs) to the required specification for clinical, PK and PD reports. This involves production of programs in SAS, to meet client specificationsReconcile electronic data with CRF data by producing SAS programsUse SAS to create industry standard SDTM and analysis datasets.Ensure that TFLs are produced in a timely and accurate manner and are in accordance with defined standards.Liaise with Medical Writers, Data Managers, Pharmacokineticists, Biostatisticians and other members of staff with regard to table and graph specifications/requirements.Ensure all documentation is completed on work produced e.g. QC records, Index document.Good time management and organization skills, the ability to prioritize own work to meet tight deadlines while maintaining the highest standards of work.Effective communication skills; a co-operative and team orientated approach.A Degree Apprenticeship in Data Science over 36 monthsA chance to work with industry experts,A chance to put theoretical skills in to practice and make a real impact in a global business,A chance to Act as an Ambassador across Thames Valley for Apprenticeships A generous benefits and holiday packageA salary of £16,500 in your first year rising progressively as you progress based on performanceA level Maths and 2 other subjects for example, a science or computer based subjectGreat attention to detailA passion for dataThree ‘A’ levels, preferably including one in a computing, life science, mathematical or statistical subjectNone",,,,
apprenticeship data scientist at covance by labcorp 2580700248,Data Mining Specialist,"Farnborough, England, United Kingdom",TRUE,Apprenticeship   Data Scientist,apprentice,,"Littlewick Green, England, United Kingdom","Responsible for the production of data tables, figures and listings (TFLs) to the required specification for clinical, PK and PD reports. This involves production of programs in SAS, to meet client specifications Reconcile electronic data with CRF data by producing SAS programs Use SAS to create industry standard SDTM and analysis datasets. Ensure that TFLs are produced in a timely and accurate manner and are in accordance with defined standards. Liaise with Medical Writers, Data Managers, Pharmacokineticists, Biostatisticians and other members of staff with regard to table and graph specifications/requirements. Ensure all documentation is completed on work produced e.g. QC records, Index document. Good time management and organization skills, the ability to prioritize own work to meet tight deadlines while maintaining the highest standards of work. Effective communication skills; a co-operative and team orientated approach.A Degree Apprenticeship in Data Science over 36 months A chance to work with industry experts, A chance to put theoretical skills in to practice and make a real impact in a global business, A chance to Act as an Ambassador across Thames Valley for Apprenticeships  A generous benefits and holiday package A salary of £16,500 in your first year rising progressively as you progress based on performanceA level Maths and 2 other subjects for example, a science or computer based subject Great attention to detail A passion for dataThree ‘A' levels, preferably including one in a computing, life science, mathematical or statistical subjectNone",,,,
apprenticeship vehicle builder at alexander dennis limited 2589953346,Apprentice,,TRUE,Apprenticeship   Vehicle Builder,apprentice,Alexander Dennis Limited,"Scarborough, England, United Kingdom","At Alexander Dennis we design, engineer, build and support the widest range of market leading buses and coaches using low, ultra-low and zero emission technologies. We are saving the planet. Our purpose is to support Governments globally with their push to reduce pollution and improve air quality by building greener, more eco-friendly buses.  We love our customers. So much so, almost every bus we build is bespoke – what the customer wants, we will do our best to deliver.  We have a fantastic Canadian parent company called NFI. They welcomed us into the family in 2019, and we haven’t looked back since.  There is no doubt about it – it was a tough 2020 for Alexander Dennis. But now we are building back, winning new orders in Germany and Ireland to name but a few which will be manufactured right here in the UK.  Our global footprint is pretty impressive. We have a presence in some super cool places across the world from Hong Kong to Auckland to Toronto.Our Apprentice programme is designed to give you a broad range of skills that will allow you to work on pretty much any stage of our bus and coach build. Here you can ‘earn as you learn’ as our structured four-year programme is a blend of on-the-job training from our experienced vehicle builders, as well as off-the-job training at Scarborough TEC. At the end of the programme, you will be a fully qualified Multi-Skilled Vehicle Builder with either an Electrical, Mechanical or Paint bias. Working as part of a multi-disciplinary team responsible for manufacturing, fitting and rectification of components or sub-components for vehicle assembly; you’ll learn how to read and work from technical drawings, schematics and standard operating procedures (SOP’s).  You’ll learn how to use various hand and power tools, carrying out a range of mechanical and electrical fixing, wiring and bonding activities to a high standard. Alongside core technical skills, you’ll develop stronger communication and teamworking skills, building your confidence and a future career path.You’ll have a keen interest in the automotive industry! If you have some experience in the automotive industry – even better!  Have GCSE passes at minimum Grade 4 (C) or above in Maths, English and either a Science or Technology subject. Have a good record of achievement and attendance. Positive and flexible attitude to work Be committed to all aspects of the Apprenticeship, including attending college. A great communicator and able to work as part of a team.The application process will be co-ordinated in partnership with Scarborough TEC and application forms are now available by telephoning Alexander Dennis (ADL) Reception 01723 581 500, alternatively internal applicants can obtain an application from the ADL HR Office. ALL application forms must be returned directly to HR Department, Alexander Dennis Ltd, Plaxton Park, Cayton Low Road, Scarborough, YO11 3BY. Closing date for the return of application forms is Friday 25th June 2021. All applicants will be required to attend a preliminary interview and an assessment day at Scarborough TEC with final interviews expected by end of July 2021.Kickstart your career in the Automotive industry.  Be coached and mentored by the best in the business.  The opportunity to work for an internationally recognised bus and coach manufacturer.  A competitive hourly rate, pension and production bonus – we aim to reward our people at the level they deserve.  Generous holiday entitlement that increases.",,,,
apprenticeship coach it sector at primary goal 2483847022,Network Engineer,,TRUE,Apprenticeship Coach   IT Sector,apprentice,Primary Goal,"Coventry, England, United Kingdom","Manage a caseload of learners at various locations, organise workplace assessment visits and meetings with employers (currently remote assessments are taking place)Offer support and guidance to both apprentice and employer with regards to the technical requirements of the apprenticeship; Level 4 Network Engineer, Level 3 Infrastructure Technician & Digital Support Technician programmesDemonstrate an in-depth knowledge of the course topics you are required to deliverTo ensure compliance and completion across all relevant documentationTo update learners’ progress through the use of an e-portfolio systemEstablishing and maintaining learner and employer relationships, balancing the needs of each to ensure high quality delivery and impactFollow Safeguarding procedures and understand your responsibilities around keeping vulnerable people safeDeliver Safeguarding, Prevent & British Values awareness coaching to learners and ensure employers have suitable processes in place to support the learnerEnsure all learner and employer information is treated with confidentialityMaintain a good working relationship with internal onboarding & delivery staffHave a willingness to learn and train in new technical subject areasNetwork Engineer Level 4 Apprenticeship assessing/training delivery experienceInfrastructure Technician Level 3 Apprentice assessing/training deliveryKnowledge and understanding of Awarding Body requirements (BCS) and preparing apprentices for EPAOrganizational skills: ability to plan, being able to meet deadlines, attention to detail for documentation requirementsUnderstanding the importance of compliance/ quality in relation to ESFA/Ofsted inspectionsBeing employer and learner orientated: polite, responsive but persistentGood written and spoken communication skillsAble to demonstrate confidence and the ability to use own initiativeAbility to work to targets & deadlines Ability to work as part of a team as well as stand aloneAssessor awardLevel 4 digital or equivalent qualification (desirable)Advice & guidanceAbility to demonstrate an understanding of math skills and able to demonstrate good written skills to successfully undertake the job roleFull clean driving licence (essential)£25,000 to £35,000 per annumPension schemeOn the job training and ongoing supportGreat opportunity for advancement in a growth organizationTeam culture",,,,
apprenticeship opportunity at rhodium consulting ltd 2586478261,Apprentice,"London, England, United Kingdom",TRUE,Apprenticeship Opportunity,apprentice,Rhodium Consulting Ltd,"London, England, United Kingdom",,,,,
hr apprentice at hpe 2580312656,Apprentice,,TRUE,HR Apprentice,apprentice,,"Winnersh, England, United Kingdom",,,,,
hr apprentice at meggitt 2588805423,Apprentice,,TRUE,HR Apprentice,apprentice,Meggitt,"Ansty, England, United Kingdom","The HR Support Apprentice will spend at least 20% of their time (equivalent to one day a week) in classroom/virtual/online learning and training (to achieve apprenticeship certification Level 3);   Support the AskHR Shared Services team with monitoring and answering the HR Shared Services Inbox and calls received via the electronic telephony software to provide a high quality service with advice, guidance and support to all internal and external stakeholders. This may include administering the new starter, changes and leaver process including offer letter and contract creation, change letters, system change updates, supporting the payroll process, administering security checks, on/offboarding actions and supporting the process and enablement process.   Support the HRISon team with the Success Factors system and understand how this is connected with the processes undertaken across the wider organisation globally, regionally and also within the HR function.   Under supervision, support the ER and Programmes Manager with policy, process and supporting documentation development and implementation.   Complete a placement with the Talent Acquisition team to support the attraction and selection of new hires to Meggitt and understand how the talent process is connected with the processes under taken within AskHR Shared Services and the wider HR function. This may include working under supervision with supporting general queries, system updates, scheduling interviews and providing feedback to candidates.   Under supervision, work alongside the Operational HR team to understand the business structure, products and services further and have exposure to the wider direct workforce population. You would be required to support the Operational HR team under supervision with providing a high quality service with advice, guidance and support to all required stakeholders.Minimum of 5 GCSE’s at grade A* - C including English and Maths   Microsoft Office - Word, Excel, PowerPoint and Outlook.   Curious, motivated with ability to learn quickly and a desire to succeed   Task Orientated with ability to take ownership of required tasks and actions   Ability to work as part of a team and using multiple communication methods   Good administration skills with the ability to work accurately and with attention to detail   Excellent interpersonal, written and oral communication skills   Desire to learn analytical approaches and problem solving   Ability to work with, exercise and maintain sensitivity and confidentiality   Strong work ethic and professionalism",Internship,Full-time,Human Resources,"Information Technology and Services, Staffing and Recruiting, and Human Resources"
intern at fashion workie 2600746943,Apprentice,,TRUE,Intern,apprentice,Fashion Workie,"London, England, United Kingdom","Contributing to social media engagement and brand awareness campaigns Effectively communicating with our community  Assisting in fulfilling swaps for our Swappers  Light photography work Providing general support to CEOProactive and highly motivated individual  Enthusiastic about secondhand fashion Creative, detail-orientated with a strong visual sense Ability to manage and prioritise multiple projects Ability to produce work for a wide range of channels, including social media, email, desktop, and mobile Go-getter mentality Recent graduate or interest in fashion/tech/startups or sustainabilityStartup experience Opportunity to work on elements of the business that hold your interest Unlimited swaps  Snacks & drinks",,,,
intern at devere group 2596936101,Apprentice,,TRUE,Intern,apprentice,deVere Group,"London, England, United Kingdom","One to one training from top industry professionalsFinancial support packageAdditional training from globally recognized mindset coaches, celebrities, and elite sports peopleAccess to our company online learning and development platform (A great insight into future industry qualifications)Opportunities to further your career within one of deVere’s international offices including Dubai, Porto and Hong KongGuaranteed interview for full-time employment after successful completion of the internship.",Not Applicable,Full-time,"Training, Finance, and Consulting","Financial Services, Banking, and Investment Banking"
intern at the european bank for reconstruction and development 2601494117,Apprentice,,TRUE,Intern,apprentice,,"London, England, United Kingdom","Assistance in preparing documentation for new projects, for example, through background and information searches, carrying out integrity analysis and independent market research, assisting financial analysis or taking responsibility for a specific section in a submission document.   Assistance with drafting documentation for existing projects, such as monitoring reports or data analytics (datasheets).  Review reports from fund managers and their underlying portfolio companies.  Prepare internal management documentation, including: database reporting, assistance with fair value process, preparation of ad hoc reports and briefing notes.   Provide support to Operation Leaders with ad hoc tasks associated with monitoring or developing projects.Impact reporting – develop an impact reporting grid and trial population of the same by a sample of funds. Carry out feasibility study and analyse results.  Climate change – review current practice of recording carbon emissions/savings amongst institutional limited partners.  Statistical analysis, for example:  Compile public and EBRD sources to show equity fund activity in the region by dry powder, fund focus, country and by any other classification as required. Analyse the private equity gap.  Analyse movement of the portfolio returns in light of the economic performance of each country, the sector and the overall economic environment.  Carry out an analysis of the funds operating in the Bank’s region and create market studies as required for each country or region to support new projects.   Support data analysis on the EBRD’s equity funds’ portfolio in order to prepare presentations, panel discussions, general reports or briefing packs for internal or external consumption.  Support data analysis on the EBRD’s equity funds’ portfolio, including identifying outliers and trends for input into internal and external reports on private equity performance.  Reviewing and updating ILPA and other associations’ principles and updating templates.  Any other ad hoc tasks as required.A graduate currently enrolled and working towards a further degree in economics, finance or engineering fields or a graduate with proven interest in emerging markets and private equity.   Preferable to have knowledge and/or understanding of the fund-of-fund’s business model and/or emerging markets private equity.  Excellent technical abilities and proven experience of computer systems and data manipulation skills.   Developed analytical and numerical skills; ability for logical reasoning and accurate interpretation of data.  Ability to write well-structured and concise documents in English. Fluent English both written and spoken.Strong team player, able to integrate into a small multi-national team and able to liaise independently with different departments within the Bank.  Ability to work quickly and accurately under pressure, managing multiple tasks to meet varying deadlines.   Analytical background with strong emphasis on being able to work under own initiative to carry out independent analysis.  Conscientious, reliable and flexible with a professional attitude and good communication skills.  Highly organised, able to prioritise and work independently asking questions where necessary.You are eligible to apply if you are a national of one of or s.",,,,
intern at dolce 2599715082,Apprentice,,TRUE,intern,apprentice,DOLCE,"London, England, United Kingdom","Digital marketing experienceMusically literateInterest in art and fashionUnderstanding of Music Production software (eg. Logic Pro, Ableton)Understanding of Film Editing software (eg. iMovie, Final Cut)",,,,
intern at devere group 2596932864,Apprentice,,TRUE,Intern,apprentice,deVere Group,"Sheffield, England, United Kingdom","One to one training from top industry professionalsFinancial support packageAdditional training from globally recognized mindset coaches, celebrities, and elite sports peopleAccess to our company online learning and development platform (A great insight into future industry qualifications)Opportunities to further your career within one of deVere’s international offices including Dubai, Porto and Hong KongGuaranteed interview for full-time employment after successful completion of the internship.You must be entrepreneurial. Thinking outside the box will help you succeed.You must be relentless. If you give up easily, this career is not for you.You must be teachable. We are not looking for the finished article.",Not Applicable,Full-time,"Training, Finance, and Consulting","Financial Services, Banking, and Investment Banking"
intern at pace gallery 2595061098,Apprentice,"London, England, United Kingdom",TRUE,Intern,apprentice,Pace Gallery,"London, England, United Kingdom","Covering the phones as necessary  Providing front desk cover as necessary  Greeting clients, journalists and visitors  Maintaining a clean and professional front desk  Preparing for any special events or private views  Assist with catalogue mail-outs and post  Assist Gallery Co-ordinator with gallery move, setting up and organising a new gallery space, including FOH & BOH areasArtist and object research from both an art market and art historical perspective  Administrative tasks including client lists and artwork management  Client and artist support  Sales process overviewPress outreach  Events and press research projects  Events/public programming supportBook maintenance, research and stock checking  Sales pack supportAssisting with the gallery move and reopening of Pace in Hanover Sq  Regular stock check for the gallery and office, including kitchen supplies, stationery and books  Ensuring smooth communication between gallery and office  Ensuring all exhibition material such as press releases or exhibition catalogues are well stockedSales Invoicing  Budgeting  ARR, AML & VATInsight into international art shipping- including customs, Export licences and Cites  Gain an understanding of insurance regulations  Gain insight into the differences between primary and secondary market works  Gain insight into consignment and loan agreements between Pace and other InstitutionsInsight into the particulars of handling artworks including condition reports, transport and artwork care  Gain an understanding of installation requirements for artworksCurate a virtual exhibitionSupport with digital tools e.g., SketchUp, Photoshop  Opportunity to visit a Pace artist’s studio  Ongoing feedback and support throughout the 6 monthsWillingness to learn  Enthusiasm to be involved across the workings of the gallery  Proactive personality  Can-do attitude",,,,
intern and grad 2022 at adobe 2601415698,Apprentice,,TRUE,Intern and Grad 2022,apprentice,Adobe,"London, England, United Kingdom",,,,,
intern field engineer at awtg ltd 2596166395,Design Engineer,"London, England, United Kingdom",TRUE,Intern Field Engineer,apprentice,AWTG Ltd,"London, England, United Kingdom","Test, identify and troubleshoot problems in the field with cellular networks as well as with data collection equipmentPerform both task-based and project-based on-site work across multiple customer requirements, technologies and equipmentConduct site surveys and on-field equipment set-up, field testing and data collectionBasic, demonstrable understanding of RF theory and practice, data communications and networkingWork as part of a team, coordinate with data processing engineer(s) and other members of the project team daily, to ensure data integrity, proper data transfer and management of routes.Good remote communication and problem-solving skills to manage, troubleshoot and resolve issues, in partnership with back office supportWork with Project Manager/Supervisor on open issues regarding data collection progressPrevious drive testing/site verification/shakedowns/handoff testing experience preferred.Basic, demonstrable understanding of RF theory and practice, data communications and networkingReadiness to acquire new knowledge and develop existing skillsUnderstands Health and Safety & its importance within mobile/wireless telecomsThis position involves being in vehicle for up to 8 hours a day at times.Looking for quick learners, dependable individuals.Must have a clean driving record. Able to drive for extended period.Must be reliable and able to work long hours if required.Flexibility required in terms of traveling within the UK and EU if requiredMapInfo experience preferred Self starter and responsible Flexible",,,,
intern risk capital at isda 2567840435,Apprentice,"London, England, United Kingdom",TRUE,"Intern, Risk and Capital  ",apprentice,ISDA,"London, England, United Kingdom","Maintain files and organize documentsReview, analyze and/or summarize technical documents related to derivativesAssist in preparing information, correspondence, presentations and materials for the Clearing teamAttend industry working group calls/meetingsTake notes and memos during meetingsAssist with databases and input information, data and recordsProvide support in quantitative impact studiesAttend company functions and networking eventsMust be currently enrolled in an accredited university/college economics or finance programMust be legally able to work in the UKExcellent written and verbal communication skillsSelf-starter and able to work without constant supervisionEagerness to tackle new projectsMust have above average interpersonal skills and the ability to interact and communicate with individuals at all levels of the organizationMust have knowledge of a variety of computer software applications in word processing, email and presentation software (MSWord, PowerPoint, Outlook)Work requires continual attention to detail in composing, typing and proofing materialsMust be able to establish priorities and meet deadlines.Must have knowledge of clearing andfinancial derivativesQuantitative skills considered a plusMS excel intermediateEnglish fluent",Internship,Full-time,Finance,Financial Services
internship at firstmind 2533058297,Apprentice,"London, England, United Kingdom",TRUE,Internship,apprentice,FirstMind,"London, England, United Kingdom","An opportunity for getting operational experience in a start-up where both your work and the results are highly tangible and matters to the business A chance to work closely together with the Sales Manager on our leads strategy Unlimited growth potential in our company - we strongly believe in and have a track record of promoting internallySource sales leads; ensuring our pipeline is never empty Design and develop lead sourcing and email journey processes and practices Analyse and understand data, e.g. lead and email journey performance Continuously look for new solutions and practises enabling us to locate the best performing journeys on the best performing channels (e.g. LinkedIn, email etc.) Assist our Sales Managers on contacting leads",,,,
internship at systemiq ltd 2583326176,Apprentice,"London, England, United Kingdom",TRUE,Internship,apprentice,SYSTEMIQ Ltd.,"London, England, United Kingdom","Degree in a relevant discipline; additional MSc and / or PhD are also very welcome.Demonstrable passion for sustainability / social enterprise topics. Work experience in this this area is also hugely beneficial in consideration for this role.Strong analytics and problem solving / structuring skills.Instinctive ability to absorb and digest relevant scientific literature from multiple sources.Relationship management skills, also on a senior level (senior scientists, C-level from the industry, policy makers etc.)Entrepreneurial spirit with the ability to identify opportunities and new initiatives.",,,,
admin at starting point recruitment 2594036717,Administrative Associate,,TRUE,Admin,administrative_assistant,Starting Point Recruitment,"West Midlands, England, United Kingdom","To monitor and track mailbox emails to ensure that these are acknowledged, recorded, information is collated, and responses are drafted promptly and actioned within defined timescales. Typing correspondence and mail merging letters. To prioritise tasks and exercise a degree of self-management of workload. To take responsibility for assigned tasks/duties, ensuring that work is appropriately prioritised and carried out to the required high standard within specified timescales to meet required deadlines.Excellent interpersonal skills with a confident and professional approach to working with colleagues, both internally and externally; excellent verbal and listening skills and the ability to maintain confidentiality. Have excellent communication, time management and organisational skills A good knowledge of the English to include spelling and grammar To be able to recognise and capture the main points of a meeting and type simultaneously whilst listening to the speaker Maintain professional boundaries and respect confidentiality and data protection requirements Be hard-working, capable and confident and able to work on your own initiative Have excellent interpersonal skills; empathy, diplomacy and sensitivity Experience of mail merging letters Experience of taking and writing accurate and clear minutes of meetingsIntermediate level utilising Microsoft Office in particular Office 365 and Teams. Demonstrable ability to use the Microsoft Office including Word, Excel and PowerPoint",,,,
admin accounts assistant at the zest group ltd 2596912397,Administrative Associate,,TRUE,Admin   Accounts Assistant,administrative_assistant,The Zest Group Ltd,Greater Plymouth Area,Answering calls and emailsAssisting the office manager and accounts assistant Processing spreadsheets Scheduling Organising appointments with clientsExperience in administration (desirable)High levels of organisation skillsConfident Excellent IT skills Numerical skills and attention to detailPrevious experience within a bookkeeping role would be ideal.,Part-time,,,
admin receptionist  E2 80 93 front of house at sensible staffing 2477106605,Administrative Associate,"London, England, United Kingdom",TRUE,Admin   Receptionist – Front Of House,administrative_assistant,Sensible Staffing,"London, England, United Kingdom",,,,,
admin sales assistant at simply lockers 2583176024,Pharmaceutical-technical Assistant,,TRUE,Admin   Sales Assistant,administrative_assistant,Simply Lockers,"Pott Shrigley, England, United Kingdom",,,,,
admin and accounts assistant at microstrategies 2570288981,Administrative Associate,,TRUE,Admin and Accounts Assistant,administrative_assistant,Microstrategies,"London Colney, England, United Kingdom",,,,,
admin and online marketing assistant at car valeting supplies 2561577559,Head of Packaging,,TRUE,Admin and Online Marketing Assistant,administrative_assistant,Car Valeting Supplies,Greater Stoke-on-Trent Area,,,,,
admin and shop assistant at royston golf club 2581334193,Head of Packaging,,TRUE,Admin and Shop Assistant,administrative_assistant,,"Royston, England, United Kingdom","Dealing with membership enquiries including following up on leads  Answering phone calls Updating online diary Updating till system and running reports A working knowledge of excel, word and outlook",,,,
admin apprentice at vinci construction uk 2596940794,Apprentice,,TRUE,Admin Apprentice,administrative_assistant,VINCI Construction UK,"Watford, England, United Kingdom",,,,,
admin assistant at university college london hospitals nhs foundation trust 2601337686,Administrative Associate,,TRUE,Admin Assistant,administrative_assistant,University College London Hospitals NHS Foundation Trust,"London, England, United Kingdom",,,,,
admin assistant at magpie recruitment 2595316521,Administrative Associate,"London, England, United Kingdom",TRUE,Admin Assistant,administrative_assistant,Magpie Recruitment,"London, England, United Kingdom","Processing, packaging and tracking and sending out orders.Dealing with incoming phone calls.Dealing with online and customer queries by e-mail and telephoneSorting and distributing incoming post and organising and sending outgoing post.Managing stock processingUsing a variety of software packages, such as Microsoft Word, Outlook, PowerPoint, Excel, Photo ShopAssisting with office administration as requiredLiaising with our PR company and dealing with press call-insAssisting the online marketing teamCreating and maintaining filing systemsUsing content management systems to maintain and update websites and internal databases.Liaising with staff in the production team and with external contacts.Ordering and maintaining stationery and equipment.Excellent command of English, both speaking and writing.Experience of dealing with customers; via email and telephone.Attention to detail.Cultural awarenessExcellent telephone mannerAbility to work calmly when under pressure.",Entry level,Full-time,Administrative,"Staffing and Recruiting, Banking, and Financial Services"
admin assistant at networx recruitment software services 2598829942,Pharmaceutical-technical Assistant,,TRUE,Admin Assistant,administrative_assistant,networx | Recruitment Software & Services,"Preston, England, United Kingdom","Obtaining Estimates/images from repairers/ owners/principalsAccurately inputting desktop instructionsDealing with incoming and outgoing callsAllocation of jobs by typeTotal loss settlement supportIssuing repair authority where requiredInstructing salvageDealing with Principal enquiries/updatesProcessing/allocation of supplementary estimatesQuality checking/sending reportsInvoicing of reportsOther miscellaneous administration duties as and when requiredA professional and adaptable communication style - both written and verbal;Efficient administrative skills;Strong numeracy, literacy, and IT skills;A proactive attitude, and an enthusiastic approachProficient in Word & ExcelPension - matched contribution up to 5%Reduced price Preston bus passLife Assurance (2 x basic salary)Free Headspace membershipEye Test Vouchers",,,,
admin assistant at pertemps tm 2595305891,Administrative Associate,"London, England, United Kingdom",TRUE,Admin Assistant,administrative_assistant,,"London, England, United Kingdom",,,,,
admin assistant at reeson education 2599669996,Pharmaceutical-technical Assistant,"London, England, United Kingdom",TRUE,Admin Assistant,administrative_assistant,REESON Education,"London, England, United Kingdom",,,,,
admin assistant at hatch mansfield agencies ltd 2578245572,Dental Assistant,"Farnborough, England, United Kingdom",TRUE,ADMIN ASSISTANT,administrative_assistant,,"Ascot, England, United Kingdom",,,,,
admin assistant at altitude recruitment 2601080127,Pharmaceutical-technical Assistant,,TRUE,Admin Assistant,administrative_assistant,Altitude Recruitment,"Milton Keynes, England, United Kingdom",,,,,
admin assistant at resourcing group 2596898135,Pharmaceutical-technical Assistant,"London, England, United Kingdom",TRUE,Admin Assistant,administrative_assistant,Resourcing Group,"London, England, United Kingdom",,,,,
admin assistant at pertemps london 2597598089,Assistant Operations,"London, England, United Kingdom",TRUE,Admin Assistant,administrative_assistant,,"City of London, England, United Kingdom",,,,,
admin assistant at tiptopjob 2600753864,Administrative Associate,"London, England, United Kingdom",TRUE,Admin Assistant,administrative_assistant,TipTopJob,"London, England, United Kingdom",2 Day a week role SEN School Ofsted Outstanding GBP10 : 13 p/h,,,,
